Date,Open,High,Low,Close,Adj Close,Volume
2020-06-01,171.600006,181.731995,170.820007,177.132004,177.132004,265771000
2020-06-08,183.800003,205.496002,181.832001,187.056000,187.056000,384031000
2020-06-15,183.557999,203.839996,181.699997,200.179993,200.179993,290353500
2020-06-22,199.990005,202.399994,187.429993,191.947998,191.947998,208983500
2020-06-29,193.802002,245.600006,189.703995,241.731995,241.731995,282609500
2020-07-06,255.337997,309.783997,253.207993,308.929993,308.929993,467130500
2020-07-13,331.799988,358.997986,286.200012,300.167999,300.167999,512010500
2020-07-20,303.802002,337.799988,273.308014,283.399994,283.399994,455574000
2020-07-27,287.000000,312.940002,282.600006,286.152008,286.152008,305567500
2020-08-03,289.839996,305.481995,283.002014,290.541992,290.541992,185304000
2020-08-10,289.600006,333.760010,273.000000,330.141998,330.141998,354902000
2020-08-17,335.399994,419.097992,334.566010,409.996002,409.996002,455117500
2020-08-24,425.256012,463.697998,385.503998,442.679993,442.679993,443680500
2020-08-31,444.609985,502.489990,372.019989,418.320007,418.320007,502309600
2020-09-07,356.000000,398.989990,329.880005,372.720001,372.720001,340579600
2020-09-14,380.950012,461.940002,373.299988,442.149994,442.149994,415784100
2020-09-21,453.130005,455.679993,351.299988,407.339996,407.339996,447901400
2020-09-28,424.619995,448.880005,411.600006,415.089996,415.089996,270256000
2020-10-05,423.350006,439.000000,406.049988,434.000000,434.000000,206343600
2020-10-12,442.000000,465.899994,436.600006,439.670013,439.670013,189582800
2020-10-19,446.239990,447.000000,407.380005,420.630005,420.630005,174024800
2020-10-26,411.630005,430.500000,379.109985,388.040009,388.040009,141543700
2020-11-02,394.000000,440.000000,392.299988,429.950012,429.950012,145636400
2020-11-09,439.500000,452.500000,396.029999,408.500000,408.500000,122101100
2020-11-16,408.929993,508.609985,404.089996,489.609985,489.609985,261458100
2020-11-23,503.500000,598.780029,501.790009,585.760010,585.760010,190400100
2020-11-30,602.210022,607.799988,541.210022,599.039978,599.039978,222835600
2020-12-07,604.919983,654.320007,566.340027,609.989990,609.989990,305424100
2020-12-14,619.000000,695.000000,605.000000,695.000000,695.000000,417604200
2020-12-21,666.239990,668.500000,614.229980,661.770020,661.770020,165799900
2020-12-28,674.510010,696.599976,655.000000,694.780029,694.780029,98035400
